age,sex,NHANES,race_f,type,n,Mean,SD,LB,25%,50%,75%,UB,Rhat,n.eff,Parameters,prev_fit,LB_scl,UB_scl,NHANES_year
77,Male,1988-1994,Other Hispanic,Force of Infection (λ),806,0.00598022593575279,0.00246763510760314,0.00313624387934876,0.00377539486151364,0.00466602219851346,0.00822071605436529,0.0104744473277319,7.05153500590712,2,"lhat[78,1,1,3]",0.598022593575279,0.313624387934876,1.04744473277319,1991
78,Male,1988-1994,Other Hispanic,Force of Infection (λ),807,0.00579789638321994,0.00242552765522077,0.00300696296295926,0.00363709775328121,0.00449924975558956,0.00799209736070052,0.0102483242434653,6.98637078384414,2,"lhat[79,1,1,3]",0.579789638321994,0.300696296295926,1.02483242434653,1991
79,Male,1988-1994,Other Hispanic,Force of Infection (λ),808,0.00562020441642998,0.00238311523361959,0.00288264951516033,0.00350094085534785,0.00433772440322948,0.00776291828504731,0.0100248287329392,6.92355797994259,2,"lhat[80,1,1,3]",0.562020441642998,0.288264951516033,1.00248287329392,1991
80,Male,1988-1994,Other Hispanic,Force of Infection (λ),809,0.00544708589301127,0.00234046538431636,0.00276288725630503,0.00336953886693057,0.00418133184171991,0.00753716982324258,0.0097984386818458,6.86296986426852,2,"lhat[81,1,1,3]",0.544708589301127,0.276288725630503,0.97984386818458,1991
81,Male,1988-1994,Other Hispanic,Force of Infection (λ),810,0.00527847430906679,0.00229764277205634,0.00264773514379786,0.00324318512757256,0.00402995655016144,0.00732391256490609,0.00957454227991528,6.8044888115669,2,"lhat[82,1,1,3]",0.527847430906679,0.264773514379786,0.957454227991527,1991
82,Male,1988-1994,Other Hispanic,Force of Infection (λ),811,0.00511430103264227,0.00225470916715268,0.00253688689148401,0.00312106723703004,0.00388348212304223,0.00711107682889012,0.00935368162419577,6.74800549071256,2,"lhat[83,1,1,3]",0.511430103264226,0.253688689148401,0.935368162419577,1991
83,Male,1988-1994,Other Hispanic,Force of Infection (λ),812,0.0049544955291129,0.00221172344039371,0.00243041409055365,0.00300364961902371,0.00374179158570887,0.00690443733089109,0.00913591176472576,6.69341813841063,2,"lhat[84,1,1,3]",0.49544955291129,0.243041409055365,0.913591176472576,1991
84,Male,1988-1994,Other Hispanic,Force of Infection (λ),813,0.00479898557828267,0.0021687415695335,0.00232813054551763,0.0028899086797321,0.00360476768901054,0.00670464782111224,0.0089212829440319,6.64063190729784,2,"lhat[85,1,1,3]",0.479898557828267,0.232813054551763,0.89212829440319,1991
85,Male,1988-1994,Other Hispanic,Force of Infection (λ),814,0.0046476974830379,0.00212581665639961,0.00222992806653182,0.00278037739424354,0.00347229318349477,0.00650564396754128,0.00870984063633672,6.58955827986621,2,"lhat[86,1,1,3]",0.46476974830379,0.222992806653182,0.870984063633672,1991
86,Male,1988-1994,Other Hispanic,Force of Infection (λ),815,0.00450055626944245,0.00208299895367559,0.00213566234156147,0.0026743280257566,0.00334425107362123,0.00631112578566838,0.00850162559941214,6.5401145407197,2,"lhat[87,1,1,3]",0.450055626944245,0.213566234156147,0.850162559941214,1991
87,Male,1988-1994,Other Hispanic,Force of Infection (λ),816,0.00435748587820294,0.00204033590044371,0.00204573707872782,0.00257187673276238,0.00322052485253583,0.00612124709256249,0.00829667393835597,6.49222330061633,2,"lhat[88,1,1,3]",0.435748587820294,0.204573707872782,0.829667393835597,1991
