V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
102.9384069,64.70877808,32.93499863,9.793790228,3.394626598,2.179843601,2.146289314,0.658779712,1.367807068,2.203305124,1.625415649,1.799018939,1.511744033,1.630163275,1.568819715,1.568579722,203.0948023,88.6930272,41.91630343,10.8813081,4.879107685,1.689467341,1.879302278,0.53933688,209.8033478,110.7436773,49.82267357,14.25935246,2.955750476,5.118905755,1.806405676,2.480712124
106.3979173,70.92039192,31.12485239,8.782981106,4.91570942,3.17882446,1.301822869,0.805719042,3.033188682,1.368969705,1.802408626,1.606979156,1.559152995,1.648545014,1.593566278,1.574421259,157.7477644,71.31796931,46.57681887,9.712284423,3.947952476,2.29957015,1.25018074,0.692089952,217.6007227,134.6798021,54.43445918,14.23998537,1.969703134,3.809443119,2.592067599,0.014889149
100.4417675,60.34919543,27.010956,10.82343004,3.620355122,1.959075971,0.983605498,1.491883684,1.975212774,2.735923048,1.450277667,1.703427128,1.602728654,1.706662577,1.527277804,1.56256984,107.8533034,97.81215971,43.87183958,11.22720671,1.662010127,1.700340796,0.986450733,0.550918793,241.0493152,135.4876174,67.47593531,15.40316467,5.787560926,4.049996244,2.59872923,0.621411762
78.3733597,57.69299687,33.24311832,8.530978538,4.197601066,2.855228777,2.746453103,0.517702194,1.057250576,2.520861286,1.747703226,1.749714567,1.642635061,1.593391137,1.593034873,1.587874312,180.973649,88.84157128,44.31608557,12.73921884,3.087162187,2.430805368,1.089511041,0.736592419,244.8140871,140.9562978,62.6040277,12.57945642,5.677408969,1.893725104,2.566421414,1.243677149
93.32304398,52.39548949,28.88945275,9.148367894,4.47093606,2.454025024,2.537791098,0.95388647,4.056540015,2.57087239,1.830158441,1.604236223,1.481232824,1.611185245,1.535941893,1.579925636,186.9523776,80.25250937,43.21250147,8.148614877,5.062547403,2.688815341,1.416607006,0.149350929,197.4146197,123.2462196,59.21465117,10.38830575,4.354254172,0.138852157,4.731478505,1.969700609
107.6042065,59.93861728,27.31315306,10.655499,4.53788354,3.063940941,0.841394735,0.532230845,1.042937986,1.741589907,1.891092792,1.680864023,1.684252046,1.581979286,1.552219619,1.590404364,105.5499319,84.11823932,39.69582265,12.12129455,5.42688546,2.046687976,1.651653828,0.70456799,239.2150468,131.1179801,52.44363268,14.59606904,4.806497662,0.218607956,1.620117946,2.202515185
51.95160636,58.71773352,30.73207075,11.92194238,5.02452107,2.67415802,1.749236547,0.196064914,2.425607187,2.628998131,1.873810071,1.660112184,1.579192533,1.639746743,1.650219634,1.500832783,128.7653406,80.35664217,40.17767161,12.67263173,3.229164217,0.289933785,1.654208006,0.727111613,258.7662097,138.2043881,55.38988337,12.82115446,8.145691708,2.669143586,3.554677173,2.018961755
74.6354028,62.4164459,29.55017042,9.424502878,5.625893549,1.993442619,1.099933819,0.426639672,2.723882119,2.991359072,1.397184693,1.707774984,1.656146641,1.623940551,1.501979525,1.598675994,172.3186185,91.35923535,44.73841475,10.80758049,2.322326926,2.631477867,1.567106533,0.799791249,311.5666285,130.46212,48.6395898,10.49045964,5.965603869,3.107415163,2.2854828,1.481915713
108.1406485,61.69132302,24.73580451,12.11080489,5.598167968,3.498624147,0.596353153,0.607007839,2.762535219,1.703164114,1.600346462,1.68068391,1.742288334,1.623129048,1.568852939,1.527109715,167.1888728,92.10627726,38.44748562,12.56261846,3.689793324,1.531286276,1.049751378,0.872207737,178.1397866,152.1864022,52.11689581,18.18724685,3.236177114,1.964073806,0.076980863,0.231201235
133.5449549,59.89152882,29.65578898,7.401072803,5.591661492,2.360979046,0.686466713,1.115312894,3.080819116,2.168967686,1.547886914,1.691657608,1.614996631,1.537869221,1.559098836,1.597518711,145.214957,77.03013464,42.66357233,12.06532741,4.343339584,1.515249443,1.256923564,0.658781654,228.0430317,125.2755143,59.83275528,14.0601623,7.344926704,2.061046345,0.038775759,0.745241683
77.1511783,62.217398,27.82145547,12.26169629,3.400523872,3.976124417,2.44514442,1.296734074,2.399195647,1.501669635,1.533844645,1.787868613,1.679780471,1.628875026,1.647129405,1.540563841,164.8983927,78.31957613,44.72581586,10.39719004,5.345166387,2.932413367,0.136006459,0.426797296,295.8799613,121.7888514,59.47442477,8.140258398,0.907006089,5.292590955,1.291361358,2.334629466
95.11289857,48.00829526,24.66943565,12.90573891,2.422740527,3.136577017,1.163369468,0.822247133,3.727678387,1.077717409,1.71908349,1.704324636,1.649788887,1.636109236,1.595067872,1.505551392,202.6075421,88.1098893,40.07671794,11.01853796,3.870578711,1.742365405,0.42990801,0.84423696,221.3658271,157.8886518,58.00571206,12.43376603,7.861085876,3.985174925,2.816365026,1.299031647
90.37013337,62.81677048,26.89167189,11.88017686,4.682222379,2.119107469,0.414952251,0.710970653,2.433671669,1.423888125,1.897279473,1.798635825,1.692249414,1.648692344,1.564758942,1.531826716,187.2504487,80.23268698,42.55307879,10.60085179,4.059625223,1.949322543,0.64065311,0.766130091,228.1953187,118.7234263,45.58383535,13.94424251,6.407714839,6.252912036,4.686091338,1.873970453
86.88133147,57.4525328,31.15156647,11.19648946,4.116765559,3.372065532,2.872743053,0.172146676,2.767279237,2.867711788,1.711928875,1.647822204,1.665829125,1.604426129,1.597595386,1.575545262,163.2240214,89.50725195,46.7824002,9.475482241,4.555916591,1.622177276,0.945782439,0.877192254,133.6138694,119.0491509,57.16880681,19.37557102,6.600155969,0.27969424,1.601305828,0.441312999
81.05767117,58.77247152,28.53858415,11.3786213,3.752486088,1.179722263,0.599498164,1.433817292,2.653910937,2.143779198,1.912299744,1.704833658,1.535540616,1.693730328,1.598901833,1.550158968,161.1425479,100.3670385,38.94902629,13.3188087,3.548038716,2.440779757,1.606187015,0.965164669,135.7070816,83.5465492,58.95334664,11.17526825,7.015595323,1.093739366,1.245563184,1.169714038
98.78593828,57.62438838,22.95706502,11.94734768,2.151104401,2.165593683,2.852559116,0.851682414,4.190753121,3.687327388,1.601603117,1.683701808,1.581679567,1.58811685,1.554237273,1.567445437,147.9318746,74.33499672,44.22866015,9.40592959,5.373842967,2.221842406,1.400361783,1.103845863,311.4790162,141.6809248,60.59920047,10.02583535,4.594879667,1.377007958,1.482039091,0.442304421
92.04103498,40.42234127,28.47027686,9.826211987,4.300684099,3.171846568,1.992054924,1.075223576,2.793955921,2.089565097,1.922794039,1.649692735,1.511527324,1.533901388,1.538255312,1.600897518,133.8855075,99.03316432,44.99337495,11.07718649,0.320056167,2.185602308,1.741046064,1.183133151,277.8619297,136.311336,30.19234384,17.52470435,2.579162555,0.994083515,4.275884964,0.67812225
