"","time","s0","i0","s1","i1","race","scenario","I","scen","waifw","scen_waifw"
"147",44,0.657997593482255,0.342002406915839,-7.95220905757276e-10,3.3728318288919e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.342002407253122,"1","Assortative","Treatment - Assortative"
"148",45,0.655221752929222,0.344778246784521,3.86569907883347e-10,-1.58205352586859e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.344778246626315,"1","Assortative","Treatment - Assortative"
"149",46,0.652441773523552,0.347558226980353,-9.53574377624533e-10,3.93703503881105e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.347558227374057,"1","Assortative","Treatment - Assortative"
"150",47,0.649658856460334,0.350341142938294,9.52596054720921e-10,-4.05289489201198e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.350341142533005,"1","Assortative","Treatment - Assortative"
"151",48,0.646874204041369,0.353125796291455,-6.8550696613359e-10,3.00488801078432e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.353125796591944,"1","Assortative","Treatment - Assortative"
"152",49,0.64408899259508,0.35591100694596,7.52144820442213e-10,-3.43537911197418e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.355911006602422,"1","Assortative","Treatment - Assortative"
"153",50,0.641304397016887,0.358695603109008,-3.27794291319571e-10,1.53353455482169e-10,"Hispanic","One-Time Treatment: 80% Effectiveness",0.358695603262362,"1","Assortative","Treatment - Assortative"
"154",0,0.53836521395707,0.461634785928686,0,0,"NH Black","No Treatment",0.461634785928686,"0","Assortative","Status Quo - Assortative"
"155",1,0.538203202667888,0.461796797216289,0,0,"NH Black","No Treatment",0.461796797216289,"0","Assortative","Status Quo - Assortative"
"156",2,0.538031151113119,0.46196884876961,0,0,"NH Black","No Treatment",0.46196884876961,"0","Assortative","Status Quo - Assortative"
"157",3,0.53784888446683,0.462151115414583,0,0,"NH Black","No Treatment",0.462151115414583,"0","Assortative","Status Quo - Assortative"
"158",4,0.537656289835596,0.462343710044636,0,0,"NH Black","No Treatment",0.462343710044636,"0","Assortative","Status Quo - Assortative"
"159",5,0.537453265161308,0.462546734717878,0,0,"NH Black","No Treatment",0.462546734717878,"0","Assortative","Status Quo - Assortative"
